id,data,path,class,width,height,xmin,ymin,xmax,ymax,meta
1,TEST,images/100_a_o_unknown.png,GOLD,640,360,302,150,315,162,
2,TRAIN,images/101_a_fr_water.png,REDSTONE,640,360,294,64,335,102,
3,TRAIN,images/101_a_fr_water.png,IRON,640,360,45,189,121,241,
4,TRAIN,images/101_a_fr_water.png,IRON,640,360,380,268,414,296,
5,TRAIN,images/101_a_fr_water.png,IRON,640,360,417,289,450,316,
6,VAL,images/102_a_rlf_water.png,REDSTONE,640,360,217,102,272,156,
7,VAL,images/102_a_rlf_water.png,LAPIS,640,360,388,64,414,104,
8,VAL,images/102_a_rlf_water.png,IRON,640,360,444,212,464,231,
9,VAL,images/102_a_rlf_water.png,REDSTONE,640,360,479,229,502,242,
10,TEST,images/103_a_fod_water.png,DIAMOND,640,360,446,166,506,210,
11,TEST,images/103_a_fod_water.png,GOLD,640,360,368,206,385,232,
12,TEST,images/103_a_fod_water.png,IRON,640,360,334,125,359,139,
13,TRAIN,images/104_a_fuld_water.png,LAPIS,640,360,165,153,193,181,
14,TRAIN,images/104_a_fuld_water.png,IRON,640,360,441,200,459,220,
15,TRAIN,images/104_a_fuld_water.png,IRON,640,360,236,245,250,258,
16,TRAIN,images/104_a_fuld_water.png,IRON,640,360,283,212,291,222,
17,TRAIN,images/104_a_fuld_water.png,COPPER,640,360,257,165,291,177,
18,TRAIN,images/104_a_fuld_water.png,DIAMOND,640,360,365,228,375,242,
19,TRAIN,images/104_a_fuld_water.png,IRON,640,360,342,183,351,196,
20,TEST,images/105_a_cuf_water.png,COAL,640,360,213,209,254,237,
21,TEST,images/105_a_cuf_water.png,IRON,640,360,417,212,460,242,
22,TEST,images/105_a_cuf_water.png,COPPER,640,360,498,206,534,229,
23,TEST,images/105_a_cuf_water.png,COAL,640,360,308,237,334,262,
24,TRAIN,images/107_a_fc_mineshaft.png,IRON,640,360,350,67,386,88,
25,TRAIN,images/107_a_fc_mineshaft.png,COAL,640,360,98,65,131,94,
26,TRAIN,images/107_a_fc_mineshaft.png,COAL,640,360,168,109,190,130,
27,TRAIN,images/107_a_fc_mineshaft.png,IRON,640,360,515,190,529,202,
28,TRAIN,images/10_a_for_lushcave.png,REDSTONE,640,360,233,145,291,192,
29,TRAIN,images/10_a_for_lushcave.png,REDSTONE,640,360,244,202,296,271,
30,TRAIN,images/10_a_for_lushcave.png,GOLD,640,360,376,132,460,202,
31,TRAIN,images/10_a_for_lushcave.png,IRON,640,360,500,60,532,91,
32,TRAIN,images/110_a_cu_unknown.png,COAL,640,360,314,156,326,184,
33,TRAIN,images/110_a_cu_unknown.png,COPPER,640,360,333,177,358,227,
34,TRAIN,images/110_a_cu_unknown.png,COPPER,640,360,352,156,376,179,
35,TRAIN,images/111_a_c_unknown.png,COAL,640,360,306,232,343,271,
36,TRAIN,images/111_a_c_unknown.png,COAL,640,360,573,289,639,334,
37,TRAIN,images/112_a_cu_mountain.png,COPPER,640,360,252,191,282,227,
38,TRAIN,images/112_a_cu_mountain.png,COAL,640,360,365,87,376,105,
39,TRAIN,images/112_a_cu_mountain.png,COAL,640,360,339,184,350,203,
40,TEST,images/113_a_c_unknown.png,COAL,640,360,359,84,417,130,
41,VAL,images/116_a_lr_water.png,LAPIS,640,360,474,50,514,89,
42,VAL,images/116_a_lr_water.png,REDSTONE,640,360,319,282,345,330,
43,VAL,images/116_a_lr_water.png,LAPIS,640,360,253,46,266,69,
44,TEST,images/117_a_ful_dripstone.png,IRON,640,360,257,220,272,237,
45,TEST,images/117_a_ful_dripstone.png,COPPER,640,360,314,203,356,222,
46,TEST,images/117_a_ful_dripstone.png,LAPIS,640,360,541,190,615,253,
47,TEST,images/117_a_ful_dripstone.png,IRON,640,360,279,217,311,256,
48,TEST,images/117_a_ful_dripstone.png,IRON,640,360,342,223,357,242,
49,TEST,images/117_a_ful_dripstone.png,COPPER,640,360,326,223,341,241,
50,TEST,images/117_a_ful_dripstone.png,COPPER,640,360,521,74,537,125,
51,TEST,images/117_a_ful_dripstone.png,IRON,640,360,393,132,414,144,
52,TEST,images/117_a_ful_dripstone.png,LAPIS,640,360,470,127,489,139,
53,TEST,images/119_a_l_unknown.png,LAPIS,640,360,260,114,486,308,
54,TRAIN,images/11_a_d_geode.png,DIAMOND,640,360,440,151,503,205,
55,TRAIN,images/120_a_uf_dripstone.png,COPPER,640,360,33,172,164,273,
56,TRAIN,images/120_a_uf_dripstone.png,IRON,640,360,385,213,403,232,
57,TRAIN,images/122_a_fu_water.png,IRON,640,360,308,248,335,277,
58,TRAIN,images/122_a_fu_water.png,COPPER,640,360,229,278,276,314,
59,VAL,images/123_a_lufo_dripstone.png,COPPER,640,360,294,1,377,107,
60,VAL,images/123_a_lufo_dripstone.png,LAPIS,640,360,252,106,294,195,
61,VAL,images/123_a_lufo_dripstone.png,IRON,640,360,306,159,330,174,
62,VAL,images/123_a_lufo_dripstone.png,IRON,640,360,542,169,580,219,
63,VAL,images/123_a_lufo_dripstone.png,GOLD,640,360,313,192,336,206,
64,VAL,images/123_a_lufo_dripstone.png,GOLD,640,360,360,139,371,151,
65,TEST,images/126_a_fou_unknown.png,GOLD,640,360,199,126,233,160,
66,TEST,images/126_a_fou_unknown.png,COPPER,640,360,326,86,366,109,
67,TEST,images/126_a_fou_unknown.png,IRON,640,360,354,249,413,307,
68,TEST,images/126_a_fou_unknown.png,COPPER,640,360,364,112,390,135,
69,TEST,images/126_a_fou_unknown.png,COPPER,640,360,421,192,437,207,
70,TEST,images/126_a_fou_unknown.png,COAL,640,360,2,230,45,256,
71,TEST,images/127_a_c_mountain.png,COAL,640,360,186,112,202,134,
72,TEST,images/127_a_c_mountain.png,COAL,640,360,359,131,382,159,
73,TRAIN,images/129_a_f_mountain.png,IRON,640,360,449,114,506,173,
74,TRAIN,images/12_a_u_lushcave.png,COPPER,640,360,347,173,393,198,
75,TEST,images/130_a_ce_mountain.png,COAL,640,360,1,248,168,312,
76,TEST,images/130_a_ce_mountain.png,COPPER,640,360,383,161,394,174,
77,TEST,images/130_a_ce_mountain.png,EMERALD,640,360,353,180,360,189,
78,TRAIN,images/131_a_ce_mountain.png,EMERALD,640,360,323,208,360,230,
79,TRAIN,images/131_a_ce_mountain.png,COAL,640,360,370,137,391,162,
80,TRAIN,images/131_a_ce_mountain.png,COAL,640,360,539,182,568,196,
81,TRAIN,images/131_a_ce_mountain.png,COAL,640,360,462,222,476,234,
82,VAL,images/132_a_cf_mountain.png,IRON,640,360,320,154,339,174,
83,VAL,images/132_a_cf_mountain.png,COAL,640,360,331,132,342,142,
84,TRAIN,images/133_a_l_unknown.png,LAPIS,640,360,265,119,368,216,
85,VAL,images/134_a_f_unknown.png,IRON,640,360,292,114,340,162,
86,TRAIN,images/135_a_rf_unknown.png,IRON,640,360,214,269,262,306,
87,TRAIN,images/135_a_rf_unknown.png,REDSTONE,640,360,391,94,460,199,
88,TEST,images/136_a_lfr_unknown.png,LAPIS,640,360,179,118,275,160,
89,TEST,images/136_a_lfr_unknown.png,IRON,640,360,462,156,489,214,
90,TEST,images/136_a_lfr_unknown.png,REDSTONE,640,360,574,14,640,71,
91,TEST,images/137_a_f_unknown.png,IRON,640,360,296,74,359,234,
92,TRAIN,images/138_a_ru_lava.png,REDSTONE,640,360,72,29,220,249,
93,TRAIN,images/138_a_ru_lava.png,COPPER,640,360,525,1,634,105,
94,TRAIN,images/139_a_fr_mineshaft.png,IRON,640,360,370,196,454,279,
95,TRAIN,images/139_a_fr_mineshaft.png,REDSTONE,640,360,77,1,134,36,
96,TRAIN,images/139_a_fr_mineshaft.png,IRON,640,360,273,56,326,109,
97,TRAIN,images/13_a_fud_lushcave.png,COPPER,640,360,265,67,288,106,
98,TRAIN,images/13_a_fud_lushcave.png,IRON,640,360,325,311,378,360,
